round,loss,accuracy,precision,recall,f1
73,2.0007022226913067,0.2312,0.22147872758107967,0.23120000000000002,0.16067258033364537
74,1.9878410598899745,0.2422,0.21674767653914934,0.24219999999999997,0.17549370026531405
75,2.069941633864294,0.203,0.2266636888414749,0.203,0.12506037553093644
76,2.1032985086682476,0.1864,0.16868730313577773,0.1864,0.11094248931750916
77,2.095184882984886,0.1652,0.2579906912165888,0.1652,0.11116907942935464
78,2.0166165451460247,0.2296,0.24304902670004042,0.22960000000000003,0.1633233899782722
79,2.053176769727393,0.2324,0.23497219671578407,0.2324,0.159036050479067
80,2.066263411618486,0.1937,0.1893610266606888,0.1937,0.10825272744109453
81,2.017629575125779,0.2345,0.2546878682689112,0.2345,0.17693068876197005
82,2.0197350963761536,0.1915,0.23847926468815586,0.1915,0.10480428712950673
83,2.1425095977662485,0.1965,0.13088552318407737,0.19649999999999998,0.12171200323404867
84,2.3682761252680913,0.2207,0.19070718510853882,0.22069999999999998,0.1475625071865551
85,2.0092029058480563,0.2482,0.2510306127455514,0.24819999999999998,0.18487525095080454
86,2.1411337263976473,0.179,0.15883595981605797,0.179,0.10711384844691499
87,2.0232417176041424,0.2218,0.2833093385413099,0.2218,0.1588260241471204
88,2.0350430011749268,0.222,0.22949157605242587,0.22199999999999998,0.15517105552672836
89,2.032213740710971,0.2262,0.22714572121374438,0.22620000000000004,0.1567753287320801
90,2.029802507992032,0.2142,0.2599740349105077,0.2142,0.14415750520336415
91,2.04906822608996,0.2218,0.28245000072185505,0.2218,0.13810039555177597
92,1.9949374938312965,0.2331,0.20831003561082725,0.2331,0.15049131607792693
93,2.1284069245374657,0.2355,0.18562672682532816,0.2355,0.16607451746014282
94,2.0170650663255136,0.2341,0.21750035795098813,0.23409999999999997,0.16021974400575206
95,1.9889914038815075,0.2161,0.311298385259462,0.21610000000000001,0.1667176297474397
96,2.0889539537550528,0.236,0.21754762664895755,0.236,0.16681484968556848
97,2.0927292666857755,0.2014,0.17582015008523563,0.20139999999999997,0.12893565248167543
98,2.076254164116292,0.2458,0.1606407981260818,0.24579999999999996,0.17079258332431027
99,2.044453856311267,0.2225,0.26877701317063657,0.2225,0.1400115612571936
100,2.2001333055616934,0.2311,0.18229352560689044,0.2311,0.17040460349622616
101,2.0764878369584867,0.2392,0.2187722231001612,0.2392,0.18447257799376346
102,1.9944250915623918,0.2223,0.23689120384008894,0.2223,0.16830385231417402
103,2.0556730047056946,0.2086,0.17376048464136118,0.20860000000000004,0.1275155275453562
104,2.137210055242611,0.2039,0.2138411974295939,0.20390000000000003,0.13374927932347305
105,1.999904855897155,0.2215,0.2171626298807388,0.22149999999999997,0.13543993813559863
106,2.079844562313225,0.1963,0.19915431754905938,0.1963,0.1137680571407326
107,2.139516913438145,0.2381,0.2203096490384604,0.23810000000000003,0.17211995355333068
108,1.9974333410021625,0.2456,0.19848015685017942,0.24559999999999998,0.17236265314237068
109,2.021918747998491,0.2088,0.1859861112494511,0.2088,0.1258788933491932
110,2.030487501168553,0.228,0.24855095252624934,0.22800000000000004,0.13342171570787076
111,2.0896415831167485,0.214,0.22084354758705885,0.21400000000000002,0.14898717485420435
112,1.993038366112528,0.2362,0.236443298014075,0.23620000000000002,0.17622644975502788
113,1.9889627031133146,0.2303,0.22772151841926278,0.2303,0.17603145148801067
114,2.019355607938163,0.233,0.25303404233162435,0.233,0.1593992187011693
115,2.0024294159080407,0.221,0.24882969217055986,0.221,0.14293694841183463
116,1.9736310877377474,0.2481,0.2509409495203614,0.2481,0.1797102475008352
