round,loss,accuracy,precision,recall,f1
39,2.292463109463076,0.1071,0.08565067559535008,0.10710000000000001,0.03601002422680326
40,2.3147833739654926,0.1172,0.06750162534440603,0.1172,0.04474425977172207
41,2.2641150257255456,0.1277,0.238055053073969,0.1277,0.05813232494262858
42,2.114087457898297,0.1627,0.11658914504222082,0.1627,0.08178403503639489
43,2.0647960720182974,0.1833,0.21433622276187064,0.1833,0.1038731548933213
44,2.1605643562123746,0.1622,0.14085046835540554,0.16219999999999998,0.06543763451961593
45,2.3205329013776175,0.0993,0.03692818798379945,0.0993,0.01973518313372124
46,2.3081456166279466,0.1002,0.02321358095903095,0.1002,0.01951301419503174
47,2.304325408573392,0.1012,0.04929720772483004,0.1012,0.020588747875713277
48,2.3061656257774255,0.1011,0.05190723207091056,0.1011,0.02105898802205356
49,2.302477118335193,0.1003,0.10219610731663767,0.10029999999999999,0.02007006098715146
50,2.3048369099822223,0.1,0.010005002501250625,0.1,0.018190086402910415
51,2.3046028251889386,0.1003,0.10205117899249734,0.10029999999999999,0.020264787990483736
52,2.302703700488127,0.1007,0.06834236857075929,0.10069999999999998,0.02012862435589783
53,2.3050169733506216,0.1004,0.05697271295441597,0.1004,0.019922569845563298
54,2.304850023004073,0.1006,0.08368421052631578,0.1006,0.020108887326397793
55,2.305987493901313,0.1002,0.11910292350820983,0.10019999999999998,0.018599298690555512
56,2.3059026500846764,0.1,0.02847627349739601,0.1,0.0199929453801084
57,2.3055595778211764,0.1001,0.04107892442835111,0.1001,0.02003439446116971
58,2.3046761796444275,0.1009,0.04622810307090107,0.10089999999999999,0.01999896313963694
59,2.3044108499454548,0.1004,0.08251554738280402,0.10039999999999998,0.020452328193400083
60,2.3080452333522747,0.1009,0.049675842207487775,0.10089999999999999,0.020014126068443886
61,2.3043706537802007,0.101,0.03330101736885753,0.101,0.020174049421213692
62,2.305282438857646,0.1,0.01,0.1,0.01818181818181818
63,2.3053737350657015,0.1003,0.03497188190399679,0.10029999999999999,0.020046822132056663
64,2.3053141696543635,0.1007,0.08500301295570956,0.10069999999999998,0.020302836524072065
65,2.304168882249277,0.1011,0.10502513826043236,0.1011,0.020907046659428278
66,2.3032875966422166,0.1011,0.05760681790137488,0.1011,0.021054139344168533
67,2.308955349499666,0.1006,0.15855235035072368,0.1006,0.020471513596696904
68,2.309101282795773,0.1002,0.11758838383838384,0.1002,0.021321331602523717
69,2.3056825655925124,0.1012,0.2350181050090525,0.1012,0.02125619688907936
70,2.3042356786848623,0.1006,0.03260271578729353,0.1006,0.019574535143590276
