round,loss,accuracy,precision,recall,f1
25,2.054027764103081,0.1987,0.1356389920116224,0.1987,0.1442381936271669
26,2.0829278366475164,0.1892,0.17638317400541204,0.1892,0.13656444606407103
27,2.4269177370433566,0.1393,0.12898783191209146,0.1393,0.07795544691307416
28,2.387480599970757,0.1226,0.10136272585783576,0.1226,0.050162795230050086
29,2.395403279533869,0.1025,0.2091328673797169,0.1025,0.02388754221398605
30,2.4671750219562387,0.1015,0.043220761968724916,0.10149999999999999,0.02367027363845724
31,2.4395769125298608,0.1232,0.07457048609179835,0.1232,0.04177015090392805
32,2.397575773770296,0.1188,0.17272222692441827,0.11879999999999999,0.04082421779175973
33,2.34819511220425,0.1341,0.10945222662044955,0.1341,0.06263782928782417
34,2.2849782478960257,0.1298,0.1493861811636104,0.12979999999999997,0.06452104079319418
35,2.285197303264956,0.1107,0.08553295128881662,0.11069999999999999,0.05139499474651392
36,2.4153085479253456,0.1028,0.08852612202949474,0.1028,0.029625364634964613
37,2.408596542817128,0.135,0.07260802790046365,0.135,0.048276132925330076
38,2.343626822097392,0.1392,0.04199785596249085,0.1392,0.05444801710355966
39,2.3193547604959224,0.1534,0.1612241477725675,0.1534,0.07672581059373909
40,2.2972492930255357,0.1418,0.05062345816304299,0.14179999999999998,0.05402090274397829
41,2.304811486715003,0.1405,0.02826297626415153,0.14049999999999999,0.04705518469470795
42,2.336965920049933,0.1408,0.027683153542136955,0.14079999999999998,0.04617193005637773
43,2.415845837774156,0.1253,0.02572027410692692,0.1253,0.04018273280419804
44,2.4073610698120502,0.1226,0.026188905891375874,0.1226,0.03921830215426399
45,2.3383872116668316,0.1434,0.07602694221900592,0.14340000000000003,0.06308842288360143
46,2.41803666609752,0.0974,0.02855270366242992,0.0974,0.04148766591183419
47,2.321940817410433,0.1417,0.028042771581027432,0.1417,0.046791195257059694
48,2.4360592938676664,0.1004,0.0238231937190883,0.1004,0.019008994403856085
49,2.4653955290589153,0.1,0.01,0.1,0.01818181818181818
50,2.6210656135897095,0.1001,0.06000200040008001,0.1001,0.018384725366506486
51,2.5448335605331613,0.1,0.010005002501250625,0.1,0.018190086402910415
52,2.3951148564302467,0.1,0.01,0.1,0.01818181818181818
53,2.4107763948319834,0.1,0.01,0.1,0.01818181818181818
54,2.398347842542431,0.1,0.01,0.1,0.01818181818181818
55,2.4388549207132075,0.1,0.01,0.1,0.01818181818181818
56,2.5396063539046274,0.1,0.01,0.1,0.01818181818181818
57,2.50275996063329,0.1,0.01,0.1,0.01818181818181818
58,2.407414475573769,0.1,0.01,0.1,0.01818181818181818
59,2.3970190060289602,0.1,0.01,0.1,0.01818181818181818
60,2.3852885403210604,0.1,0.01,0.1,0.01818181818181818
61,2.4230732284014738,0.1,0.01,0.1,0.01818181818181818
62,2.4782056023802936,0.1,0.01,0.1,0.01818181818181818
63,2.456893139247653,0.1,0.01,0.1,0.01818181818181818
64,2.4106275280819665,0.1,0.01,0.1,0.01818181818181818
65,2.412306236315377,0.1,0.01,0.1,0.01818181818181818
66,2.4044340894192078,0.1,0.01,0.1,0.01818181818181818
67,2.4153255390215524,0.1,0.01,0.1,0.01818181818181818
68,2.444175777556021,0.1,0.01,0.1,0.01818181818181818
69,2.4291398102724098,0.1,0.01,0.1,0.01818181818181818
70,2.409941380537009,0.1,0.01,0.1,0.01818181818181818
71,2.409991551049148,0.1,0.01,0.1,0.01818181818181818
72,2.4114480712745765,0.1,0.01000100010001,0.1,0.018183471224656786
73,2.416620260552515,0.1,0.01000100010001,0.1,0.018183471224656786
74,2.427514326723316,0.1,0.01000100010001,0.1,0.018183471224656786
75,2.409314188776137,0.1,0.01,0.1,0.01818181818181818
76,2.393290423139741,0.1,0.01,0.1,0.01818181818181818
77,2.4093700239929974,0.1,0.01,0.1,0.01818181818181818
78,2.4168717076506794,0.1,0.01,0.1,0.01818181818181818
79,2.4162072954298575,0.1,0.01,0.1,0.01818181818181818
80,2.4169234444823444,0.1,0.01,0.1,0.01818181818181818
81,2.403680867786649,0.1,0.01,0.1,0.01818181818181818
82,2.4028539235078834,0.1,0.01,0.1,0.01818181818181818
83,2.414752272110951,0.1,0.01,0.1,0.01818181818181818
84,2.4116005173212365,0.1,0.01,0.1,0.01818181818181818
85,2.4166407162630104,0.1,0.01,0.1,0.01818181818181818
86,2.4121885782555688,0.1,0.01,0.1,0.01818181818181818
87,2.3940600866003883,0.1,0.01,0.1,0.01818181818181818
88,2.4009851473796218,0.1,0.01,0.1,0.01818181818181818
89,2.40484522264215,0.1,0.01,0.1,0.01818181818181818
90,2.408490594429306,0.1,0.01,0.1,0.01818181818181818
91,2.419500124605396,0.1,0.01,0.1,0.01818181818181818
92,2.41512489922439,0.1,0.01,0.1,0.01818181818181818
93,2.4032000831410856,0.1,0.01,0.1,0.01818181818181818
94,2.4109792528273184,0.1,0.01,0.1,0.01818181818181818
95,2.4164825542063655,0.1,0.01,0.1,0.01818181818181818
96,2.422007672394378,0.1,0.01,0.1,0.01818181818181818
97,2.409234985520568,0.1,0.01,0.1,0.01818181818181818
98,2.396495330182812,0.1,0.01,0.1,0.01818181818181818
99,2.3971502026425133,0.1,0.01,0.1,0.01818181818181818
100,2.4035346477846558,0.1,0.01,0.1,0.01818181818181818
